2024年IGRC会议：成员日程表（中国大陆与台湾地区）IGRC Conference 2024: Member Schedule (Mainland China and Taiwan),,,,,,,,,,,,,,,,
日期与时间转换 Date and Time Converter,,,,,,,,,,,,,,,,
中国大陆/台湾地区Mainland China/Taiwan,,第一天 Day 1,第一天 Day 1,,第二天 Day 2,第二天 Day 2,,第三天 Day 3,第三天 Day 3,,第四天 Day 4,第四天 Day 4,中国大陆/台湾地区Mainland China/Taiwan,,第五天 Day 5,第五天 Day 5
开始时间Time start,结束时间Time end,工作人员 Staff,成员 · Members,,工作人员 Staff,成员 · Members,,工作人员 Staff,成员 · Members,,工作人员 Staff,成员 · Members,开始时间Time start,结束时间Time end,工作人员 Staff,成员 · Members
5:30,6:00,Management,,,Management,,,Management,,,Management,,5:30,6:00,Management,
,,Staff Main,,,Staff Main,,,Staff Main,,,Staff Main,,,,Staff Main,
6:00,6:50,All Staff,,,All Staff,,,All Staff,,,All Staff,,6:00,6:50,All Staff,
,,Staff Main,,,Staff Main,,,Staff Main,,,Staff Main,,,,Staff Main,
7:00,8:00,Opening Plenary,Opening Plenary,,Social Dreaming 1,Social Dreaming Matrix 1 (SDM),,Social Dreaming 1,Social Dreaming Matrix 2 (SDM),,Social Dreaming 3,Social Dreaming Matrix 3 (SDM),7:00,8:00,SSG Team Meeting,Large Study Group 4 (LSG)
,,Main Room,开幕式,,主会场 · Main Room,社会梦场 1 (SDM),,社会梦场 2  (SDM),社会梦场 2  (SDM),,社会梦场 3  (SDM),社会梦场 3  (SDM),,,Staff SSG Breakout,大型学习团体 4 (LSG)
,,All Staff,主会场 · Main Room,,,主会场 · Main Room,,主会场 · Main Room,主会场 · Main Room,,Main Room,主会场 · Main Room,,,,主会场 · Main Room
8:00,8:15,Staff Main,休息 · Break,,All Staff,休息 · Break,,All Staff,休息 · Break,,All Staff,休息 · Break,8:00,8:15,All Staff,休息 · Break
,,,成员休息室 · Member Lounge,,Staff Main,成员休息室 · Member Lounge,,Staff Main,成员休息室 · Member Lounge,,Staff Main,成员休息室 · Member Lounge,,,Staff Main,成员休息室 · Member Lounge
8:15,9:15,Staff LSG Breakout ,Small Study Group 1 (SSG),,SSG Team Meeting,Large Study Group 2 (LSG),,Institutional Event 1 (IE),Institutional Event 1 (IE),,Institutional Event Closing,Institutional Event Closing,8:15,9:15,LSG Team Meeting,Small Study Group 5 (SSG)
,,Staff SSG Breakout,小型学习团体 1 (SSG),,Staff SSG Breakout,大型学习团体 2 (LSG),,机构活动 1  (IE),机构活动 1  (IE),,机构活动闭幕式,机构活动闭幕式,,,Staff LSG Breakout ,小型学习团体 5 (SSG)
,,Admin ,SSG Room 1,,Admin ,主会场 · Main Room,,IE Room 1,IE Room 1,,IE 闭幕式 · IE Closing Room,IE 闭幕式 · IE Closing Room,,,Admin ,SSG Room 1
,,Staff Main,SSG Room 2,,Staff Main,,,IE Room 2,IE Room 2,,,,,,Staff Main,SSG Room 2
,,,SSG Room 3,,,,,IE Room 3,IE Room 3,,,,,,,SSG Room 3
,,,SSG Room 4,,,,,IE Room 4,IE Room 4,,,,,,,SSG Room 4
,,,SSG Room 5,,,,,IE Room 5,IE Room 5,,,,,,,SSG Room 5
,,,,,,,,IE Room 6,IE Room 6,,,,,,,
,,,,,,,,IE Room 7,IE Room 7,,,,,,,
,,,,,,,,IE组间会议室 · IE Intergroup Room,IE组间会议室 · IE Intergroup Room,,,,,,,
,,,,,,,,IE管理团队 · IE Management Team,IE管理团队 · IE Management Team,,,,,,,
,,,,,,,,IE顾问团队 · IE Consultant Team,IE顾问团队 · IE Consultant Team,,,,,,,
9:15,9:30,All Staff,休息 · Break,,All Staff,休息 · Break,,All Staff,休息 · Break,,All Staff,休息 · Break,9:15,9:30,All Staff,休息 · Break
,,Staff Main,成员休息室 · Member Lounge,,Staff Main,成员休息室 · Member Lounge,,Staff Main,成员休息室 · Member Lounge,,Staff Main,成员休息室 · Member Lounge,,,Staff Main,成员休息室 · Member Lounge
9:30,10:30,SSG Team Meeting,Large Study Group 1 (LSG),,LSG Team Meeting,Small Study Group 1 (SSG),,Institutional Event 2 (IE),Institutional Event 2 (IE),,SSG Team Meeting,Large Study Group 3 (LSG),9:30,10:30,Closing Plenary,Closing Plenary 
,,Staff SSG Breakout,大型学习团体 1 (LSG),,Staff LSG Breakout ,小型学习团体 1 (SSG),,机构活动 2 (IE),机构活动 2 (IE),,Staff SSG Breakout,大型学习团体 3 (LSG),,,闭幕式,闭幕式
,,Admin ,主会场 · Main Room,,Admin ,SSG Room 1,,IE Room 1,IE Room 1,,Admin ,主会场 · Main Room,,,Main Room,主会场 · Main Room
,,Staff Main,,,Staff Main,SSG Room 2,,IE Room 2,IE Room 2,,Staff Main,,,,,
,,,,,,SSG Room 3,,IE Room 3,IE Room 3,,,,,,,
,,,,,,SSG Room 4,,IE Room 4,IE Room 4,,,,,,,
,,,,,,SSG Room 5,,IE Room 5,IE Room 5,,,,,,,
,,,,,,,,IE Room 6,IE Room 6,,,,,,,
,,,,,,,,IE Room 7,IE Room 7,,,,,,,
,,,,,,,,IE组间会议室 · IE Intergroup Room,IE组间会议室 · IE Intergroup Room,,,,,,,
,,,,,,,,IE管理团队 · IE Management Team,IE管理团队 · IE Management Team,,,,,,,
,,,,,,,,IE顾问团队 · IE Consultant Team,IE顾问团队 · IE Consultant Team,,,,,,,
10:30,11:00,All Staff,休息 · Break,,All Staff,休息 · Break,,All Staff,休息 · Break,,All Staff,休息 · Break,10:30,10:45,All Staff,休息 · Break
